partitions	tree	nodes
5	Kdtree	7481.2
5	Quadtree	13630
6	Kdtree	8527.2
6	Quadtree	16540
7	Kdtree	9978.8
7	Quadtree	19264
8	Kdtree	11564.8
8	Quadtree	22006
9	Kdtree	13069.4
9	Quadtree	24760
10	Kdtree	14461.5
10	Quadtree	27355
11	Kdtree	15924
11	Quadtree	29953
12	Kdtree	17355.6
12	Quadtree	32560
13	Kdtree	18860.6
13	Quadtree	35245
14	Kdtree	20249.2
14	Quadtree	37876
15	Kdtree	21630
15	Quadtree	40417
16	Kdtree	23160.4
16	Quadtree	43351
17	Kdtree	24634.4
17	Quadtree	46108
18	Kdtree	26032.4
18	Quadtree	48754
19	Kdtree	27512.4
19	Quadtree	51766
20	Kdtree	29162.2
20	Quadtree	55096
21	Kdtree	30528.4
21	Quadtree	57829
22	Kdtree	32068.6
