epsilon	Step	time
20.0	1	3.960170803
20.0	2	2.9069023056666667
20.0	3	2.6771586716666667
20.0	4	2.5808188249999997
20.0	5	3.2242505846666667
20.0	6	3.4109500826666665
20.0	7	6.886960796333334
30.0	1	6.6816595413333335
30.0	2	5.249238332
30.0	3	4.882497987
30.0	4	6.825761744
30.0	5	8.261154414
30.0	6	10.670671431333332
30.0	7	28.031282324
40.0	1	15.502921965666667
40.0	2	14.504440296666667
40.0	3	15.233284667333333
40.0	4	20.662030062666666
40.0	5	25.744746107
40.0	6	36.38246984333333
40.0	7	104.51103473433334
