dataset	method	epsilon	capacity	time
25K	BFE	1	c = 100	0.026531006445312498
25K	BFE	1	c = 200	0.03239200787760416
25K	BFE	1	c = 300	0.06421818095588236
25K	BFE	2	c = 100	0.0436803323828125
25K	BFE	2	c = 200	0.04719137893229167
25K	BFE	2	c = 300	0.08651913296568628
25K	BFE	3	c = 100	0.06672876342447917
25K	BFE	3	c = 200	0.061226680182291666
25K	BFE	3	c = 300	0.12104566215686274
25K	BFE	4	c = 100	0.098365433359375
25K	BFE	4	c = 200	0.11037541252604166
25K	BFE	4	c = 300	0.22854127578431374
25K	BFE	5	c = 100	0.22421432671875002
25K	BFE	5	c = 200	0.19618218584635416
25K	BFE	5	c = 300	0.4324181007598039
25K	PSI	1	c = 100	0.03797982115885417
25K	PSI	1	c = 200	0.02316111436197917
25K	PSI	1	c = 300	0.11202306328431373
25K	PSI	2	c = 100	0.0297776319921875
25K	PSI	2	c = 200	0.0373433994921875
25K	PSI	2	c = 300	0.10697052666666666
25K	PSI	3	c = 100	0.029326459296875
25K	PSI	3	c = 200	0.062378478541666664
25K	PSI	3	c = 300	0.12438416193627452
25K	PSI	4	c = 100	0.03159778354166667
25K	PSI	4	c = 200	0.046101645703125
25K	PSI	4	c = 300	0.13943476340686273
25K	PSI	5	c = 100	0.046211683619791666
25K	PSI	5	c = 200	0.03917631240885417
25K	PSI	5	c = 300	0.11774149039215685
50K	BFE	1	c = 100	0.011249702666015625
50K	BFE	1	c = 200	0.06465563063802084
50K	BFE	1	c = 300	0.0791109478515625
50K	BFE	2	c = 100	0.019404755563151042
50K	BFE	2	c = 200	0.10908714092447917
50K	BFE	2	c = 300	0.1073039824609375
50K	BFE	3	c = 100	0.03301537534830729
50K	BFE	3	c = 200	0.23138967626302082
50K	BFE	3	c = 300	0.258898303515625
50K	BFE	4	c = 100	0.04458842260091146
50K	BFE	4	c = 200	0.4561958812369792
50K	BFE	4	c = 300	0.4695611173046875
50K	BFE	5	c = 100	0.08367085742513021
50K	BFE	5	c = 200	0.7337065236458333
50K	BFE	5	c = 300	0.7008309865755208
50K	PSI	1	c = 100	0.00517704265625
50K	PSI	1	c = 200	0.07720923770833334
50K	PSI	1	c = 300	0.0812259941796875
50K	PSI	2	c = 100	0.005494061904296875
50K	PSI	2	c = 200	0.06821912209635417
50K	PSI	2	c = 300	0.05502535442708334
50K	PSI	3	c = 100	0.007145617239583333
50K	PSI	3	c = 200	0.0876937783203125
50K	PSI	3	c = 300	0.1094414723828125
50K	PSI	4	c = 100	0.011488104921875
50K	PSI	4	c = 200	0.0922667329296875
50K	PSI	4	c = 300	0.09479707498697917
50K	PSI	5	c = 100	0.018555488528645834
50K	PSI	5	c = 200	0.13052784899739583
50K	PSI	5	c = 300	0.12908874598958334
75K	BFE	1	c = 100	0.014357364534505208
75K	BFE	1	c = 200	0.016576423682572616
75K	BFE	1	c = 300	0.06883900372395833
75K	BFE	2	c = 100	0.030940255445963544
75K	BFE	2	c = 200	0.031075196065006916
75K	BFE	2	c = 300	0.22211775446614584
75K	BFE	3	c = 100	0.05048579722005209
75K	BFE	3	c = 200	0.07737382211964039
75K	BFE	3	c = 300	0.58448906609375
75K	BFE	4	c = 100	0.08447742992838542
75K	BFE	4	c = 200	0.12662790697095436
75K	BFE	4	c = 300	0.9405596935416667
75K	BFE	5	c = 100	0.2033125153125
75K	BFE	5	c = 200	0.1702168133298755
75K	BFE	5	c = 300	0.9540496622005208
75K	PSI	1	c = 100	0.008171207822265625
75K	PSI	1	c = 200	0.01008653903526971
75K	PSI	1	c = 300	0.11428157687500001
75K	PSI	2	c = 100	0.011113231722005207
75K	PSI	2	c = 200	0.012849490501383126
75K	PSI	2	c = 300	0.13514579889322917
75K	PSI	3	c = 100	0.014081342242838541
75K	PSI	3	c = 200	0.017214284512448132
75K	PSI	3	c = 300	0.1772013821875
75K	PSI	4	c = 100	0.023665000442708334
75K	PSI	4	c = 200	0.02544183659405256
75K	PSI	4	c = 300	0.1944134216796875
75K	PSI	5	c = 100	0.04939835295572917
75K	PSI	5	c = 200	0.05581864236514523
75K	PSI	5	c = 300	0.6692906922526042
100K	BFE	1	c = 100	0.020324546271844664
100K	BFE	1	c = 200	0.02023070990559896
100K	BFE	1	c = 300	0.04371979092936803
100K	BFE	2	c = 100	0.04728136803883495
100K	BFE	2	c = 200	0.05575565055989583
100K	BFE	2	c = 300	0.10743907966542751
100K	BFE	3	c = 100	0.09642231682200647
100K	BFE	3	c = 200	0.09186745371419272
100K	BFE	3	c = 300	0.25599625963444855
100K	BFE	4	c = 100	0.1483651336634304
100K	BFE	4	c = 200	0.13982360102213542
100K	BFE	4	c = 300	0.3151069562949194
100K	BFE	5	c = 100	0.30309977081553396
100K	BFE	5	c = 200	0.2283246316015625
100K	BFE	5	c = 300	0.6949824884634449
100K	PSI	1	c = 100	0.01057967555987055
100K	PSI	1	c = 200	0.009880195491536459
100K	PSI	1	c = 300	0.04967033279429988
100K	PSI	2	c = 100	0.01587886190291262
100K	PSI	2	c = 200	0.01675887331705729
100K	PSI	2	c = 300	0.06166276365551425
100K	PSI	3	c = 100	0.027105892941747572
100K	PSI	3	c = 200	0.026514417428385416
100K	PSI	3	c = 300	0.09354424205700124
100K	PSI	4	c = 100	0.05385331362135922
100K	PSI	4	c = 200	0.05027171490885417
100K	PSI	4	c = 300	0.15661210214374224
100K	PSI	5	c = 100	0.1460439222265372
100K	PSI	5	c = 200	0.13445581713541666
100K	PSI	5	c = 300	0.46751766517348203
